id,name,language,home_url,sitemap_url,active
0,asianetnews,kn,https://kannada.asianetnews.com/,https://kannada.asianetnews.com/sitemap.xml,True
1,indiatimes,kn,https://vijaykarnataka.indiatimes.com/,https://vijaykarnataka.indiatimes.com/sitemap.xml,True
2,sahilonline,kn,http://www.sahilonline.net/ka,https://www.sahilonline.net/sitemap/posts/ka,True
3,suddidina,kn,http://www.suddidina.com/,http://www.suddidina.com/sitemap.xml,True
4,udayavani,kn,https://www.udayavani.com/,https://www.udayavani.com/sitemap.xml,True
5,vaarte,kn,https://vaarte.com/,https://vaarte.com/sitemap.xml,True
6,varthabharati,kn,http://www.varthabharati.in/,http://www.varthabharati.in/sitemap.xml,True
7,webdunia,kn,http://kannada.webdunia.com/,http://kannada.webdunia.com/sitemap.xml,True
8,prajavani,kn,https://www.prajavani.net/,https://www.prajavani.net/sitemap.xml,True
9,kannadamma,kn,https://kannadamma.net/,https://kannadamma.net/sitemap.xml,True
10,balkaninews,kn,https://balkaninews.com/,https://balkaninews.com/sitemap.xml,True
11,kannadaprabha,kn,https://www.kannadaprabha.com/,,True
12,vishwavani,kn,http://vishwavani.news/,http://vishwavani.news/sitemap.xml,True
13,newsvani,kn,http://www.newsvani.com/,http://www.newsvani.com/sitemap.xml,False
14,sanjevani,kn,http://sanjevani.com/sanjevani/,,True
15,epapervijayavani,kn,http://epapervijayavani.in/,http://epapervijayavani.in/sitemap.xml,False
16,prajapragathi,kn,https://prajapragathi.com/,,True
17,eesanje,kn,https://www.eesanje.com/,,True
18,kannadadunia,kn,http://kannadadunia.com/,http://kannadadunia.com/sitemap.xml,True
19,suddimoola,kn,http://epaper.suddimoola.com/,http://epaper.suddimoola.com/sitemap.xml,False
20,karnatakamalla,kn,http://www.karnatakamalla.com/,http://www.karnatakamalla.com/sitemap.xml,False
21,ensuddi,kn,https://www.ensuddi.com/,,True
22,sudharmasanskritdaily,kn,http://epaper.sudharmasanskritdaily.in/,http://epaper.sudharmasanskritdaily.in/sitemap.xml,False
23,samyukthakarnataka,kn,http://epaper.samyukthakarnataka.com/,http://epaper.samyukthakarnataka.com/sitemap.xml,False
24,janathavani,kn,http://janathavani.com/,http://janathavani.com/sitemap.xml,True
25,oneindia,kn,https://kannada.oneindia.com/,https://kannada.oneindia.com/sitemap.xml,True
26,kannadaratna,kn,https://kannadaratna.com/,,True
27,justkannada,kn,https://www.justkannada.in/,,True
28,news18,kn,https://kannada.news18.com/,https://kannada.news18.com/sitemap.xml,True
29,newskannada,kn,http://www.newskannada.com,http://www.newskannada.com/sitemap.xml,True
30,karavaldaily,kn,http://kannada.karavaldaily.com,,True
31,filmibeat,kn,https://kannada.filmibeat.com,https://kannada.filmibeat.com/sitemap.xml,True
32,tv5kannada,kn,http://tv5kannada.com/,,True
33,newskannada2,kn,http://www.newskannada.in,,True
34,boldsky,kn,https://kannada.boldsky.com/,https://kannada.boldsky.com/sitemap.xml,True
35,krishijagran,kn,https://kannada.krishijagran.com/,,True
36,prajaatvkannada,kn,http://prajaatvkannada.com/,,True
37,btvnewslive,kn,https://btvnewslive.com/,https://btvnewslive.com/sitemap_index.xml,True
38,publictv,kn,https://publictv.in/,,True


