id,name,language,home_url,sitemap_url,active
0,skyhawktimes,pa,http://skyhawktimes.com/,http://skyhawktimes.com/sitemap.xml,True
1,jagran,pa,https://punjabi.jagran.com/,https://punjabi.jagran.com/sitemap.xml,True
2,punjabitribuneonline,pa,https://www.punjabitribuneonline.com/,https://www.punjabitribuneonline.com/sitemap.xml,True
3,ajitjalandhar,pa,http://www.ajitjalandhar.com/,http://www.ajitjalandhar.com/sitemap.xml,True
4,punjabmailusa,pa,http://punjabmailusa.com/,http://punjabmailusa.com/sitemap.xml,True
5,nawanzamana,pa,http://nawanzamana.in/,http://nawanzamana.in/sitemap.xml,True
6,dailypunjabtimes,pa,http://www.dailypunjabtimes.com/,http://www.dailypunjabtimes.com/sitemap.xml,True
7,rozanaspokesman,pa,https://www.rozanaspokesman.com/,https://www.rozanaspokesman.com/sitemap.xml,True
8,dailyjanjagriti,pa,http://dailyjanjagriti.com/,http://dailyjanjagriti.com/sitemap.xml,True
9,nirpakhawaaz,pa,http://www.nirpakhawaaz.in/,http://www.nirpakhawaaz.in/sitemap.xml,True
10,dailypehredar,pa,http://www.dailypehredar.com/,http://www.dailypehredar.com/sitemap.xml,True
11,indotimes,pa,https://www.indotimes.com.au/,https://www.indotimes.com.au/sitemap.xml,True
12,punjabpost,pa,http://punjabpost.in/,http://punjabpost.in/sitemap.xml,True
13,5dariyanews,pa,http://www.5dariyanews.com/,http://www.5dariyanews.com/sitemap.xml,True
14,dailyhamdard,pa,http://www.dailyhamdard.com/,,True
15,punjabinewsonline,pa,http://punjabinewsonline.com/,http://punjabinewsonline.com/sitemap.xml,True
16,punjabkesari,pa,https://jagbani.punjabkesari.in/,,True
17,thetimesofpunjab,pa,http://www.thetimesofpunjab.com/,http://www.thetimesofpunjab.com/sitemap.xml,True
18,quamiekta,pa,http://www.quamiekta.com/,http://www.quamiekta.com/sitemap.xml,True
19,deshdoaba,pa,http://www.deshdoaba.com/,http://www.deshdoaba.com/sitemap.xml,True
20,abplive,pa,https://abpsanjha.abplive.in/,,True
21,news18,pa,https://punjab.news18.com,,True
