id,name,language,home_url,sitemap_url,active
0,varthabharati,kn,http://www.varthabharati.in/,http://www.varthabharati.in/sitemap.xml,True
1,prajavani,kn,https://www.prajavani.net/,https://www.prajavani.net/sitemap.xml,True
2,kannadamma,kn,https://kannadamma.net/,https://kannadamma.net/sitemap.xml,True
3,balkaninews,kn,https://balkaninews.com/,https://balkaninews.com/sitemap.xml,True
4,kannadaprabha,kn,https://www.kannadaprabha.com/,,True
5,vishwavani,kn,http://vishwavani.news/,http://vishwavani.news/sitemap.xml,True
6,asianetnews,kn,https://kannada.asianetnews.com/,https://kannada.asianetnews.com/sitemap.xml,True
7,newsvani,kn,http://www.newsvani.com/,http://www.newsvani.com/sitemap.xml,False
8,webdunia,kn,http://kannada.webdunia.com/,http://kannada.webdunia.com/sitemap.xml,True
9,sanjevani,kn,http://sanjevani.com/sanjevani/,,True
10,epapervijayavani,kn,http://epapervijayavani.in/,http://epapervijayavani.in/sitemap.xml,False
11,suddidina,kn,http://www.suddidina.com/,http://www.suddidina.com/sitemap.xml,True
12,indiatimes,kn,https://vijaykarnataka.indiatimes.com/,https://vijaykarnataka.indiatimes.com/sitemap.xml,True
13,prajapragathi,kn,https://prajapragathi.com/,,True
14,eesanje,kn,https://www.eesanje.com/,,True
15,sahilonline,kn,http://www.sahilonline.net/ka,https://www.sahilonline.net/sitemap/posts/ka,True
16,kannadadunia,kn,http://kannadadunia.com/,http://kannadadunia.com/sitemap.xml,True
17,suddimoola,kn,http://epaper.suddimoola.com/,http://epaper.suddimoola.com/sitemap.xml,False
18,karnatakamalla,kn,http://www.karnatakamalla.com/,http://www.karnatakamalla.com/sitemap.xml,False
19,ensuddi,kn,https://www.ensuddi.com/,,True
20,sudharmasanskritdaily,kn,http://epaper.sudharmasanskritdaily.in/,http://epaper.sudharmasanskritdaily.in/sitemap.xml,False
21,samyukthakarnataka,kn,http://epaper.samyukthakarnataka.com/,http://epaper.samyukthakarnataka.com/sitemap.xml,False
22,udayavani,kn,https://www.udayavani.com/,https://www.udayavani.com/sitemap.xml,True
23,vaarte,kn,https://vaarte.com/,https://vaarte.com/sitemap.xml,True
24,janathavani,kn,http://janathavani.com/,http://janathavani.com/sitemap.xml,True
25,kannadadunia,kn,http://kannadadunia.com/,http://kannadadunia.com/sitemap.xml,True
26,oneindia,kn,https://kannada.oneindia.com/,https://kannada.oneindia.com/sitemap.xml,True
27,kannadaratna,kn,https://kannadaratna.com/,,True
