name,home_url,sitemap_url,use_sitemap,active
asomiyapratidin,https://www.asomiyapratidin.in/,https://www.asomiyapratidin.in/sitemap.xml,False,True
assamiyakhabor,http://www.assamiyakhabor.com/,http://www.assamiyakhabor.com/sitemap.xml,False,True
assamtribune,http://www.assamtribune.com/,http://www.assamtribune.com/sitemap.xml,False,True
dainikjanambhumi,http://dainikjanambhumi.co.in/,http://dainikjanambhumi.co.in/sitemap.xml,False,True
dainikjugasankha,https://dainikjugasankha.in/,https://dainikjugasankha.in/sitemap.xml,False,True
dainikprantojyoti,http://dainikprantojyoti.com/,http://dainikprantojyoti.com/sitemap.xml,False,True
dainikpurvoday,http://dainikpurvoday.com/,http://dainikpurvoday.com/sitemap.xml,False,True
ganaadhikar,http://ganaadhikar.com/,http://ganaadhikar.com/sitemap.xml,False,True
glpublications,http://amarasom.glpublications.in/,http://amarasom.glpublications.in/sitemap.xml,False,True
nababartaprasanga,http://www.nababartaprasanga.com/,http://www.nababartaprasanga.com/sitemap.xml,False,True
niyomiyabarta,https://www.niyomiyabarta.org/,https://www.niyomiyabarta.org/sitemap.xml,False,True
pratidintime,https://www.pratidintime.com/,https://www.pratidintime.com/sitemap.xml,False,True
samayikprasanga,https://www.samayikprasanga.in/epaper.php,https://www.samayikprasanga.in/sitemap.xml,False,True
sentinelassam,https://www.sentinelassam.com/,https://www.sentinelassam.com/sitemap.xml,False,True
thehillstimes,https://www.thehillstimes.in/,https://www.thehillstimes.in/sitemap.xml,False,True
timesofassam,https://www.timesofassam.com/,https://www.timesofassam.com/sitemap.xml,False,True
