name,home_url,sitemap_url,use_sitemap,active
aajkaal,https://www.aajkaal.in/,https://www.aajkaal.in/sitemap.xml,False,True
aitcifficial,http://aitcofficial.org/,,False,True
akhonsamoy,http://akhonsamoy.com,,False,True
alokitobangladesh,http://www.alokitobangladesh.com,http://www.alokitobangladesh.com/sitemap.xml,False,True
anandbazar,https://www.anandabazar.com/,https://www.anandabazar.com/sitemap.xml,False,True
asomiyapratidin,https://www.asomiyapratidin.in/,https://www.asomiyapratidin.in/sitemap_index.xml,False,True
bangla.ganashakti,http://bangla.ganashakti.co.in/,,False,True
bartamanpatrika,https://bartamanpatrika.com/,,False,True
bd-pratidin,https://www.bd-pratidin.com/index.php,https://www.bd-pratidin.com/sitemap.xml,False,True
dailydesherkatha,,http://www.dailydesherkatha.net/sitemap.xml,False,True
dailyinqilab,https://www.dailyinqilab.com/,https://www.dailyinqilab.com/sitemap_index.xml,False,True
dailynayadiganta,http://dailynayadiganta.com/,http://dailynayadiganta.com/sitemap.xml,False,True
dailysangram,http://www.dailysangram.com/,,False,True
dainikagradoot,https://dainikagradoot.in/,,False,True
dainikamadershomoy,http://www.dainikamadershomoy.com/,,False,True
dainiksambad,http://www.dainiksambad.net/,http://www.dainiksambad.net/sitemap.xml,False,True
dainikstatesmannews,https://www.dainikstatesmannews.com/,https://www.dainikstatesmannews.com/sitemap_index.xml,False,True
ebanglalibrary,https://www.ebanglalibrary.com/,,False,True
ebela,https://ebela.in/,https://ebela.in/sitemap.xml,False,True
eisamay.indiatimes,https://eisamay.indiatimes.com/,,False,True
ekdin-epaper,http://ekdin-epaper.com/,http://ekdin-epaper.com/sitemap.xml,False,True
epaper.puberkalom,https://epaper.puberkalom.com/,https://epaper.puberkalom.com/sitemap.xml,False,True
ittefaq,https://www.ittefaq.com.bd,https://www.ittefaq.com.bd/sitemap.xml,False,True
jaijaidinbd,http://www.jaijaidinbd.com/,,False,True
janomot,https://www.www.janomot.com/,,False
jugantor,https://www.jugantor.com,https://www.jugantor.com/sitemap.xml,False,True
kalerkantho,https://www.kalerkantho.com/,https://www.kalerkantho.com/sitemap/,False,True
mzamin,http://www.mzamin.com/,,False,True
prothomalo,https://www.prothomalo.com/,https://www.prothomalo.com/sitemap.xml,False,True
puberkalom,https://www.puberkalom.com/,https://www.puberkalom.com/sitemap.xml,False,True
samakal,https://samakal.com/,https://samakal.com/sitemap.xml,False,True
sangbadpratidin,http://www.dailydesherkatha.net/,https://www.sangbadpratidin.in/sitemap_index.xml,False,True
syandanpatrika,http://www.syandanpatrika.com/,,False,True
uttarbanfasambad,https://www.uttarbangasambad.com/,https://www.uttarbangasambad.com/sitemap_index.xml,False,True
