name,home_url,sitemap_url,use_sitemap,active
afternoonvoice,https://www.afternoonvoice.com/,https://www.afternoonvoice.com/sitemap.xml,False,True
andamanchronicle,http://www.andamanchronicle.net/,http://www.andamanchronicle.net/sitemap.xml,False,True
andamansheekha,http://www.andamansheekha.com/,http://www.andamansheekha.com/sitemap.xml,False,True
asianage,https://www.asianage.com/,https://www.asianage.com/sitemap.xml,False,True
assamtribune,http://www.assamtribune.com/,http://www.assamtribune.com/sitemap.xml,False,True
business-standard,https://www.business-standard.com/,https://www.business-standard.com/sitemap.xml,False,True
centralchronicle,https://www.centralchronicle.com/,https://www.centralchronicle.com/sitemap.xml,False,True
dailyexcelsior,https://www.dailyexcelsior.com/,https://www.dailyexcelsior.com/sitemap.xml,False,True
dailypioneer,https://www.dailypioneer.com/,https://www.dailypioneer.com/sitemap.xml,False,True
dailypost,https://dailypost.in/,https://dailypost.in/sitemap.xml,False,True
deccanchronicle,https://www.deccanchronicle.com/,https://www.deccanchronicle.com/sitemap.xml,False,True
deccanherald,https://www.deccanherald.com/,https://www.deccanherald.com/sitemap.xml,False,True
dnaindia,https://www.dnaindia.com/,https://www.dnaindia.com/sitemap.xml,False,True
echoofindia,http://epaper.echoofindia.com/,http://epaper.echoofindia.com/sitemap.xml,False,True
epaperhimalayadarpan,http://epaperhimalayadarpan.com/,http://epaperhimalayadarpan.com/sitemap.xml,False,True
epaperlokmat,http://epaperlokmat.in/lokmattimes/,http://epaperlokmat.in/lokmattimes/sitemap.xml,False,True
financialexpress,https://www.financialexpress.com/,https://www.financialexpress.com/sitemap.xml,False,True
firstpost,https://www.firstpost.com/,,False,True
freepressjournal,https://www.freepressjournal.in/,https://www.freepressjournal.in/sitemap.xml,False,True
glpublications,http://net.glpublications.in/,http://net.glpublications.in/sitemap.xml,False,True
greaterkashmir,https://www.greaterkashmir.com/,https://www.greaterkashmir.com/sitemap.xml,False,True
hindustantimes,https://www.hindustantimes.com/,https://www.hindustantimes.com/sitemap.xml,False,True
impressivetimes,http://www.impressivetimes.com/,http://www.impressivetimes.com/sitemap.xml,False,True
