name,home_url,sitemap_url,use_sitemap,active
1jour1actu,https://www.1jour1actu.com/,https://www.1jour1actu.com/sitemap.xml,False,True
20minutes,https://www.20minutes.fr/,https://www.20minutes.fr/sitemap.xml,False,True
actu,https://actu.fr/l-informateur-d-eu/,https://actu.fr/l-informateur-d-eu/sitemap.xml,False,True
afp,https://www.afp.com/,https://www.afp.com/sitemap.xml,False,True
alpes_et_midi,https://www.alpes-et-midi.fr/,https://www.alpes-et-midi.fr/sitemap.xml,False,True
auvergnat,https://auvergnat.com/,https://auvergnat.com/sitemap.xml,False,True
avenir_cotedazur,https://www.avenir-cotedazur.com/fr/,https://www.avenir-cotedazur.com/fr/sitemap.xml,False,True
avesnois,http://www.avesnois.com/,http://www.avesnois.com/sitemap.xml,False,True
bienpublic,https://www.bienpublic.com/,https://www.bienpublic.com/sitemap.xml,False,True
boursorama,https://www.boursorama.com/,https://www.boursorama.com/sitemap.xml,False,True
centre_presse,https://www.centre-presse.fr/,https://www.centre-presse.fr/sitemap.xml,False,True
centrepresseaveyron,https://www.centrepresseaveyron.fr/,https://www.centrepresseaveyron.fr/sitemap.xml,False,True
charentelibre,https://www.charentelibre.fr/,https://www.charentelibre.fr/sitemap.xml,False,True
charliehebdo,https://charliehebdo.fr/,https://charliehebdo.fr/sitemap.xml,False,True
cnews,https://www.cnews.fr/,https://www.cnews.fr/sitemap.xml,False,True
corsematin,https://www.corsematin.com/,https://www.corsematin.com/sitemap.xml,False,True
courrierinternational,https://www.courrierinternational.com/,https://www.courrierinternational.com/sitemap.xml,False,True
dailynord,https://dailynord.fr/,https://dailynord.fr/sitemap.xml,False,True
dna,https://www.dna.fr/,https://www.dna.fr/sitemap.xml,False,True
dordognelibre,https://www.dordognelibre.fr/,https://www.dordognelibre.fr/sitemap.xml,False,True
egaliteetreconciliation,https://www.egaliteetreconciliation.fr/,https://www.egaliteetreconciliation.fr/sitemap.xml,False,True
estrepublicain,https://www.estrepublicain.fr/,https://www.estrepublicain.fr/sitemap.xml,False,True
fdesouche,http://www.fdesouche.com/,http://www.fdesouche.com/sitemap.xml,False,True
france,https://www.france.tv/,https://www.france.tv/sitemap.xml,False,True
france24,https://www.france24.com/fr/,https://www.france24.com/fr/sitemap.xml,False,True
francesoir,http://www.francesoir.fr/,http://www.francesoir.fr/sitemap.xml,False,True
hauteprovenceinfo,http://www.hauteprovenceinfo.com/,http://www.hauteprovenceinfo.com/sitemap.xml,False,True
huffingtonpost,https://www.huffingtonpost.fr/,https://www.huffingtonpost.fr/sitemap.xml,False,True
humanite,https://www.humanite.fr/,https://www.humanite.fr/sitemap.xml,False,True
infodujour,https://infodujour.fr/,https://infodujour.fr/sitemap.xml,False,True
jeanmarcmorandini,https://www.jeanmarcmorandini.com/,https://www.jeanmarcmorandini.com/sitemap.xml,False,True
jhm,http://www.jhm.fr/,http://www.jhm.fr/sitemap.xml,False,True
l_echo,http://www.l-echo.info/,http://www.l-echo.info/sitemap.xml,False,True
la_croix,https://www.la-croix.com/,https://www.la-croix.com/sitemap.xml,False,True
ladepeche,https://www.ladepeche.fr/,https://www.ladepeche.fr/sitemap.xml,False,True
lalsace,https://www.lalsace.fr/,https://www.lalsace.fr/sitemap.xml,False,True
lamontagne,https://www.lamontagne.fr/,https://www.lamontagne.fr/sitemap.xml,False,True
lanouvellerepublique,https://www.lanouvellerepublique.fr/,https://www.lanouvellerepublique.fr/sitemap.xml,False,True
lapressedelamanche,http://www.lapressedelamanche.fr/,http://www.lapressedelamanche.fr/sitemap.xml,False,True
laprovence,https://www.laprovence.com/,https://www.laprovence.com/sitemap.xml,False,True
larep,https://www.larep.fr/,https://www.larep.fr/sitemap.xml,False,True
larepubliquedespyrenees,https://www.larepubliquedespyrenees.fr/,https://www.larepubliquedespyrenees.fr/sitemap.xml,False,True
latribune,https://www.latribune.fr/,https://www.latribune.fr/sitemap.xml,False,True
lavoixdunord,https://www.lavoixdunord.fr/,https://www.lavoixdunord.fr/sitemap.xml,False,True
lci,https://www.lci.fr/,https://www.lci.fr/sitemap.xml,False,True
leberry,https://www.leberry.fr/,https://www.leberry.fr/sitemap.xml,False,True
lecanardenchaine,https://www.lecanardenchaine.fr/,https://www.lecanardenchaine.fr/sitemap.xml,False,True
lechorepublicain,https://www.lechorepublicain.fr/,https://www.lechorepublicain.fr/sitemap.xml,False,True
ledauphine,https://www.ledauphine.com/,https://www.ledauphine.com/sitemap.xml,False,True
lefigaro,https://www.lefigaro.fr/,https://www.lefigaro.fr/sitemap.xml,False,True
lejdc,https://www.lejdc.fr/,https://www.lejdc.fr/sitemap.xml,False,True
lejdd,https://www.lejdd.fr/,https://www.lejdd.fr/sitemap.xml,False,True
lejsl,https://www.lejsl.com/,https://www.lejsl.com/sitemap.xml,False,True
lemonde,https://www.lemonde.fr/,https://www.lemonde.fr/sitemap.xml,False,True
leparisien,http://www.leparisien.fr/,http://www.leparisien.fr/sitemap.xml,False,True
lepoint,https://www.lepoint.fr/,https://www.lepoint.fr/sitemap.xml,False,True
lepopulaire,https://www.lepopulaire.fr/,https://www.lepopulaire.fr/sitemap.xml,False,True
leprogres,https://www.leprogres.fr/,https://www.leprogres.fr/sitemap.xml,False,True
