name,home_url,sitemap_url,use_sitemap,active
4pmnews,http://www.4pmnews.com/,http://www.4pmnews.com/sitemap.xml,False,True
anweshanam,http://anweshanam.com/,http://anweshanam.com/sitemap.xml,False,True
asianetnews,https://www.asianetnews.com/,https://www.asianetnews.com/sitemap.xml,False,True
aswamedham,http://aswamedham.com/,http://aswamedham.com/sitemap.xml,False,True
bignewslive,https://www.bignewslive.com/,https://www.bignewslive.com/sitemap.xml,False,True
chandrikadaily,http://www.chandrikadaily.com/,http://www.chandrikadaily.com/sitemap.xml,False,True
citinewslive,https://citinewslive.com/,https://citinewslive.com/sitemap.xml,False,True
dailyindianherald,https://dailyindianherald.com/,https://dailyindianherald.com/sitemap.xml,False,True
deepika,https://www.deepika.com/,https://www.deepika.com/sitemap.xml,False,True
deshabhimani,https://www.deshabhimani.com/,https://www.deshabhimani.com/sitemap.xml,False,True
eastcoastdaily,https://www.eastcoastdaily.com/,https://www.eastcoastdaily.com/sitemap.xml,False,True
evartha,http://www.evartha.in/,http://www.evartha.in/sitemap.xml,False,True
eveningkerala,http://eveningkerala.com/,http://eveningkerala.com/sitemap.xml,False,True
janmabhumidaily,https://www.janmabhumidaily.com/,https://www.janmabhumidaily.com/sitemap.xml,False,True
kasargodvartha,http://www.kasargodvartha.com/,http://www.kasargodvartha.com/sitemap.xml,False,True
keralabhooshanam,http://www.keralabhooshanam.com/,http://www.keralabhooshanam.com/sitemap.xml,False,True
keralaexpress,http://www.keralaexpress.com/,http://www.keralaexpress.com/sitemap.xml,False,True
keralakaumudi,https://keralakaumudi.com/news/,https://keralakaumudi.com/news/sitemap.xml,False,True
keralaonlinenews,http://keralaonlinenews.com/,http://keralaonlinenews.com/sitemap.xml,False,True
kvartha,http://www.kvartha.com/,http://www.kvartha.com/sitemap.xml,False,True
madhyamam,https://www.madhyamam.com/,https://www.madhyamam.com/sitemap.xml,False,True
malayalamexpress,https://www.malayalamexpress.in/,https://www.malayalamexpress.in/sitemap.xml,False,True
mangalam,https://www.mangalam.com/,https://www.mangalam.com/sitemap.xml,False,True
manoramaonline,https://www.manoramaonline.com/home.html,https://www.manoramaonline.com/sitemap.xml,False,True
marunadanmalayali,https://www.marunadanmalayali.com/,https://www.marunadanmalayali.com/sitemap.xml,False,True
mathrubhumi,https://www.mathrubhumi.com/,https://www.mathrubhumi.com/sitemap.xml,False,True
metrovaartha,http://www.metrovaartha.com/,http://www.metrovaartha.com/sitemap.xml,False,True
oneindia,https://malayalam.oneindia.com/,https://malayalam.oneindia.com/sitemap.xml,False,True
pradeepamonline,https://www.pradeepamonline.com/,https://www.pradeepamonline.com/sitemap.xml,False,True
pravasiexpress,https://www.pravasiexpress.com/,https://www.pravasiexpress.com/sitemap.xml,False,True
punalurnews,http://www.punalurnews.com/,http://www.punalurnews.com/sitemap.xml,False,True
puzha,http://www.puzha.com/,http://www.puzha.com/sitemap.xml,False,True
rashtrabhoomi,https://www.rashtrabhoomi.com/,https://www.rashtrabhoomi.com/sitemap.xml,False,True
rashtradeepika,https://www.rashtradeepika.com/,https://www.rashtradeepika.com/sitemap.xml,False,True
reporter,https://www.reporter.live/,https://www.reporter.live/sitemap.xml,False,True
samayam,https://malayalam.samayam.com/,https://malayalam.samayam.com/sitemap.xml,False,True
sathyadeepam,http://sathyadeepam.org/,http://sathyadeepam.org/sitemap.xml,False,True
sathyamonline,https://www.sathyamonline.com/,https://www.sathyamonline.com/sitemap.xml,False,True
sayannakairali,http://epaper.sayannakairali.com,http://epaper.sayannakairali.com/sitemap.xml,False,True
sirajlive,http://www.sirajlive.com/,http://www.sirajlive.com/sitemap.xml,False,True
southernpost,http://www.southernpost.in/,http://www.southernpost.in/sitemap.xml,False,True
sudinamonline,https://www.sudinamonline.com/,https://www.sudinamonline.com/sitemap.xml,False,True
suprabhaatham,http://suprabhaatham.com/,http://suprabhaatham.com/sitemap.xml,False,True
thejasnews,https://www.thejasnews.com/,https://www.thejasnews.com/sitemap.xml,False,True
themediasyndicate,http://themediasyndicate.com/,http://themediasyndicate.com/sitemap.xml,False,True
thurannakathu,http://www.thurannakathu.com/,http://www.thurannakathu.com/sitemap.xml,False,True
timeskerala,https://timeskerala.com/,https://timeskerala.com/sitemap.xml,False,True
vyganews,http://www.vyganews.com/,http://www.vyganews.com/sitemap.xml,False,True
webdunia,https://malayalam.webdunia.com/,https://malayalam.webdunia.com/sitemap.xml,False,True
