name,home_url,sitemap_url,use_sitemap,active
agrowon,https://www.agrowon.com/,https://www.agrowon.com/sitemap.xml,False,True
beedreporter,https://beedreporter.net/,https://beedreporter.net/sitemap.xml,False,True
bhaskar,https://divyamarathi.bhaskar.com/,https://divyamarathi.bhaskar.com/sitemap.xml,False,True
dainikaikya,http://www.dainikaikya.com/,http://www.dainikaikya.com/sitemap.xml,False,True
dainikekmat,http://epaper.dainikekmat.com/,http://epaper.dainikekmat.com/sitemap.xml,False,True
dainikgomantak,http://epaper.dainikgomantak.com/,http://epaper.dainikgomantak.com/sitemap.xml,False,True
dainikmurder,http://www.dainikmurder.net/,http://www.dainikmurder.net/sitemap.xml,False,True
deshdoot,https://www.deshdoot.com/,https://www.deshdoot.com/sitemap.xml,False,True
deshonnati,https://www.deshonnati.com/,https://www.deshonnati.com/sitemap.xml,False,True
elokasha,http://elokasha.com/,http://elokasha.com/sitemap.xml,False,True
epunyanagari,http://www.epunyanagari.com/,http://www.epunyanagari.com/sitemap.xml,False,True
esakal,https://www.esakal.com/,https://www.esakal.com/sitemap.xml,False,True
esanchar,http://www.esanchar.co.in/,http://www.esanchar.co.in/sitemap.xml,False,True
indiatimes,https://maharashtratimes.indiatimes.com/,https://maharashtratimes.indiatimes.com/sitemap.xml,False,True
janankush,http://www.janankush.com/,http://www.janankush.com/sitemap.xml,False,True
lokmat,https://www.lokmat.com/,https://www.lokmat.com/sitemap.xml,False,True
lokprashna,http://www.lokprashna.com/,http://www.lokprashna.com/sitemap.xml,False,True
loksatta,https://www.loksatta.com/,https://www.loksatta.com/sitemap.xml,False,True
marathwadaneta,http://www.marathwadaneta.com/,http://www.marathwadaneta.com/sitemap.xml,False,True
navshakti,http://www.navshakti.co.in/,http://www.navshakti.co.in/sitemap.xml,False,True
parshvbhumi,http://parshvbhumi.com/,http://parshvbhumi.com/sitemap.xml,False,True
prahaar,http://prahaar.in/,http://prahaar.in/sitemap.xml,False,True
pudhari,https://www.pudhari.news/,https://www.pudhari.news/sitemap.xml,False,True
saamana,https://www.saamana.com/,https://www.saamana.com/sitemap.xml,False,True
sakaltimes,https://www.sakaltimes.com/,https://www.sakaltimes.com/sitemap.xml,False,True
shivner,http://www.shivner.com/,http://www.shivner.com/sitemap.xml,False,True
tarunbharat,https://www.tarunbharat.com/,https://www.tarunbharat.com/sitemap.xml,False,True
zunjarneta,http://www.zunjarneta.com/,http://www.zunjarneta.com/sitemap.xml,False,True
