name,home_url,sitemap_url,use_sitemap,active
5dariyanews,http://www.5dariyanews.com/,http://www.5dariyanews.com/sitemap.xml,False,True
abplive,https://punjabi.abplive.com/,,False,True
ajitjalandhar,http://www.ajitjalandhar.com/,http://www.ajitjalandhar.com/sitemap.xml,False,True
amardeepsidhu,http://amardeepsidhu.com/poetry,,False,True
bbcpunjabi,https://www.bbc.com/punjabi,,False,True
blogspot,http://punjab-screen.blogspot.com/,,False,True
dailyhamdard,http://www.dailyhamdard.com/,,False,True
dailyjanjagriti,http://dailyjanjagriti.com/,http://dailyjanjagriti.com/sitemap.xml,False,True
dailypehredar,http://www.dailypehredar.com/,http://www.dailypehredar.com/sitemap.xml,False,True
dailypost,https://www.punjabi.dailypost.in/,,False,True
dailypunjabtimes,http://www.dailypunjabtimes.com/,http://www.dailypunjabtimes.com/sitemap.xml,False,True
deshdoaba,http://www.deshdoaba.com/,http://www.deshdoaba.com/sitemap.xml,False,True
foodyduniya,https://www.foodyduniya.com/,,False,True
fullonpunjabi,http://fullonpunjabi.com,,False,True
globalpunjabtv,https://globalpunjabtv.com/,,False,True
indotimes,https://www.indotimes.com.au/,https://www.indotimes.com.au/sitemap.xml,False,True
infopunjabi,https://infopunjabi.com/,,False,True
jagran,https://punjabi.jagran.com/,https://punjabi.jagran.com/sitemap.xml,False,True
nawanzamana,http://nawanzamana.in/,http://nawanzamana.in/sitemap.xml,False,True
news18,https://punjab.news18.com,,False,True
newsd5,https://punjabi.newsd5.in/,,False,True
nickysingh,http://nickysingh.com.au,,False,True
nirpakhawaaz,http://www.nirpakhawaaz.in/,http://www.nirpakhawaaz.in/sitemap.xml,False,True
parvasinewspaper,https://parvasinewspaper.com/,,False,True
ptcnews,https://www.ptcnews.tv/latest-punjabi-news/,,False,True
punjabihindustantimes,https://punjabi.hindustantimes.com,,False,True
punjabijagran,https://www.punjabijagran.com,,False,True
punjabinewsonline,http://punjabinewsonline.com/,http://punjabinewsonline.com/sitemap.xml,False,True
punjabitribuneonline,https://www.punjabitribuneonline.com/,https://www.punjabitribuneonline.com/sitemap.xml,False,True
punjabkesari,https://jagbani.punjabkesari.in/,,False,True
punjabmailusa,http://punjabmailusa.com/,http://punjabmailusa.com/sitemap.xml,False,True
punjabpost,http://punjabpost.in/,http://punjabpost.in/sitemap.xml,False,True
quamiekta,http://www.quamiekta.com/,http://www.quamiekta.com/sitemap.xml,False,True
rozanaspokesman,https://www.rozanaspokesman.in,,False,True
singhfact,https://www.singhfact.com/,,False,True
skyhawktimes,http://skyhawktimes.com/,http://skyhawktimes.com/sitemap.xml,False,True
wordpress,http://gorigadhaa.wordpress.com/,,False,True
